participant_id,provider,address_line1,address_line2,address_city,address_state,address_zipcode,gender,sexual_orientation,ethnicity,children,foster_care,incarceration,immigration,accommodations,intake_form_completed,first_name,last_name,preferred_name,survivorship,county_services,county_location,phone,email,participant_status,preferred_language,date_of_birth,unhoused,general_form_completed,first_name_general,last_name_general,preferred_name_general,phone_general,email_general,num_of_children
136,A Safe Place,"South Bend, IN, Saint Joseph County","",South Bend,IN,"",Trans Man,Pansexual,Dine,Yes (Visitation),"","","",{},2023-07-07,Tammilyn,Thompkins,Tami,{},,Saint Joseph County,,,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-07,Tammilyn,Thompkins,Tami,,,
207,Job Training Plus,"N/A, unhoused","","","","",Trans Woman,Bisexual,Tuolumne,Yes (Visitation),Formerly in foster care,"Yes, formerly in juvenile incarceration",Not sure,"{'"Emotional Support Animals welcome'",'"Wheelchair access'"}",2023-11-02,G,N,G,{},,"",,,Connected: Awaiting Response,{English},,t,2023-11-02,G,N,G,,,4
136,Aspen Adult Literacy Program,"South Bend, IN, Saint Joseph County","",South Bend,IN,"",Trans Man,Pansexual,Dine tribe,Yes (Visitation),"","","",{},2023-07-07,Tammilyn Moira,Thompkins,T,{},,"",(510) 987-6543,Rev+tamorah@gmail.com,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-07,Tammilyn Moira,Thompkins,Tamorah,,,
179,A Safe Place,"Alameda, CA, Alameda County","",Alameda,CA,"",Gender Fluid,Pansexual,White,Yes (Full time),"","","",{},2023-07-10,Rachel,Laddle,Rachel,{},,"",,,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-09,Rachel,Laddle,Rachel,,,
141,Future Works,"Shenandoah, TX, Montgomery County","",Shenandoah,TX,"",Agender,Pansexual,Chinese,Yes (Visitation),"","","",{},2023-06-21,Gloria,Nguy,Gene,{},,Montgomery County,,,Active: Receiving Services Now,"{Tagalog,Spanish}",2003-06-02,f,2023-03-31,G,N,G,,,
136,All Hands Shelter,"South Bend, IN, Saint Joseph County","",South Bend,IN,"",Trans Man,Pansexual,Dine,Yes (Visitation),Formerly in foster care,"Yes, currently in adult incarceration",No,"{'"Emotional Support Animals welcome'"}",2023-07-07,Tammilyn,Thompkins,Tam,{},,"",,,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-07,Tammilyn,Thompkins,Tami,,,
197,All Hands Shelter,"N/A, unhoused","","","","",Trans Woman,Pansexual,Trinidad,Currently working to obtain custody rights,Extended foster care (AB 12),"Yes, formerly in juvenile incarceration",No,"{'"American Sign Language'"}",2023-11-02,Giuseppe,Lane,Juju,{},,"",,,Connected: Awaiting Response,{Tagalog},,t,2023-11-15,Giuseppe,Lane,Jules,,,5
178,Future Works,"Alameda, CA, Alameda County","",Alameda,CA,"",Woman,Heterosexual,White,Yes (Full time),"","","",{},2023-07-10,Jaclyn,Bedsole,Jakki,{},,Alameda County,,,Active: Receiving Services Now,{English},1991-04-02,f,2023-07-09,Jaclyn,Bedsole,Jakki,,,
191,A Safe Place,"Royal Acres, SC, Oconee County","",Royal Acres,SC,"",Gender Fluid,Homosexual,Thai,Yes (Visitation),"","","",{},2023-09-06,G,N,G,{},,Oconee County,,,Connected: Awaiting Response,"{'"None of the above'"}",,f,2023-09-06,G,N,G,,,5
179,Future Works,"Alameda, CA, Alameda County","",Alameda,CA,"",Woman,Heterosexual,White,Yes (Full time),"","","",{},2023-07-10,Rachel,Laddle,Rachel,{},,Alameda County,,,Active: Receiving Services Now,{English},1991-04-02,f,2023-07-09,Rachel,Laddle,Rachel,,,
191,America’s Job Center of California,"N/A, unhoused","",Royal Acres,SC,"",Gender Fluid,Homosexual,Thai,Currently working to obtain custody rights,Extended foster care (AB 12),N/A,No,{},2023-09-07,G,N,G,{},,"",,,Connected: Awaiting Response,"{'"None of the above'"}",,t,2023-09-06,G,N,G,,,5
179,All Hands Shelter,"Alameda, CA, Alameda County","",Alameda,CA,"",Gender Fluid,Pansexual,White,Yes (Full time),Extended foster care (AB 12),"Yes, formerly in juvenile incarceration",Yes,"{'"American Sign Language'"}",2023-07-10,Rachel,Laddle,Rachel,{},,"",,,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-09,Rachel,Laddle,Rachel,,,
136,A Safe Place,"South Bend, IN, Saint Joseph County","",South Bend,IN,"",Trans Man,Pansexual,Dine,Yes (Visitation),"","","",{},2023-07-07,Tammilyn,Thompkins,Tami,{},,Saint Joseph County,,,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-07,Tammilyn,Thompkins,Tami,,,
47,A Revolution Within1,"N/A, unhoused","","","","","","",Tesr,"",Formerly in foster care,"","",{},2023-03-06,Jakki 9,Jakki 9,Jakki 9,{},,"",(512) 289-9639,,Connected: Awaiting Response,{},,t,2023-03-06,Jakki 9,Jakki 9,Jakki 9,,,
200,A Safe Place,"N/A, unhoused","","","","",Woman,Bisexual,Test,Yes (Full time),"","","",{},2023-11-02,Laura,hackney,Laura,{},,"",,,Connected: Awaiting Response,"{Mandarin,English}",,t,2023-11-02,Laura,hackney,Laura,,,2
178,Future Works,"Alameda, CA, Alameda County","",Alameda,CA,"",Woman,Heterosexual,White,Yes (Full time),"","","",{},2023-07-10,Jaclyn,Bedsole,Jakki,{},,Alameda County,,,Active: Receiving Services Now,{English},1991-04-02,f,2023-07-09,Jaclyn,Bedsole,Jakki,,,
210,A Safe Place,"N/A, unhoused","","","","",Woman,Heterosexual,Hengs,Currently working to obtain custody rights,"","","",{},2023-11-02,J +10 11/2/23,J +10 11/2/23,J +10 11/2/23,{},,"",,,Connected: Awaiting Response,{Tagalog},,t,2023-11-02,J +10 11/2/23,J +10 11/2/23,J +10 11/2/23,,,6
147,Next Steps Job Training,"Alameda County, CA, Alameda County","",Alameda County,CA,"",Woman,Heterosexual,Latina,No,"","","",{},2023-07-10,Lilith,Ross,Lilly,{},,"",,,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-09,Lilith,Ross,Lilly,,,
136,Aspen Adult Literacy Program,"South Bend, IN, Saint Joseph County","",South Bend,IN,"",Trans Man,Pansexual,Dine tribe,Yes (Visitation),"","","",{},2023-07-07,Tammilyn Moira,Thompkins,T,{},,"",(510) 987-6543,Rev+tamorah@gmail.com,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-07,Tammilyn Moira,Thompkins,Tamorah,,,
136,America’s Job Center of California,"South Bend, IN, Saint Joseph County","",South Bend,IN,"",Trans Man,Pansexual,Dine,Yes (Visitation),Formerly in foster care,"Yes, currently in adult incarceration",No,"{'"Emotional Support Animals welcome'"}",2023-07-07,Tammilyn Moira,Thompkins,Tamorah,{},,"",,,Connected: Awaiting Response,"{English,Spanish}",,f,2023-07-07,Tammilyn,Thompkins,Tami,,,
140,A Revolution Within1,"Hallelujah Junction, CA, Lassen County","",Hallelujah Junction,CA,"",Gender Fluid,Asexual,Chinese,Yes (Visitation),None,N/A,No,"{'"Emotional Support Animals welcome'",'"American Sign Language'"}",2023-04-07,G,N,G,"{'"survivor of labor exploitation'",'"survivor of domestic violence'",'"survivor of sexual violence'"}",,Lassen County,,,Connected: Awaiting Response,"{Cantonese,English}",1990-04-02,f,2023-04-06,G,N,G,,,
140,A Revolution Within1,"Hallelujah Junction, CA, Lassen County","",Hallelujah Junction,CA,"",Gender Fluid,Asexual,Chinese,Yes (Visitation),None,N/A,No,"{'"Emotional Support Animals welcome'",'"American Sign Language'"}",2023-04-07,G,N,G,"{'"survivor of labor exploitation'",'"survivor of domestic violence'",'"survivor of sexual violence'"}",,Lassen County,,,Connected: Awaiting Response,"{Cantonese,English}",1990-04-02,f,2023-04-06,G,N,G,,,
207,America’s Job Center of California,"N/A, unhoused","","","","",Trans Woman,Bisexual,Tuolumne,Yes (Visitation),Formerly in foster care,"Yes, formerly in juvenile incarceration",Not sure,"{'"Emotional Support Animals welcome'"}",2023-11-02,G,N,G,{},,"",,,Connected: Awaiting Response,{English},,t,2023-11-02,G,N,G,,,4
180,All Hands Shelter,"N/A, unhoused","","","","",Woman,Heterosexual,H,Yes (Part time),Formerly in foster care,"Yes, formerly in juvenile incarceration",No,{},2023-09-05,H,K,G,{},,"",,,Connected: Awaiting Response,{English},,t,2023-11-08,Jay,Bee,Jay,,,5
